Region,League,Year,Dataset,Team,Player,Pos,GP,WAR,WAR_per_game,CPS,repl_CPS,z_DMG_GOLD_ratio,z_CSPM,z_DPM_adj,z_neg_DTH,z_EGPM_adj,z_GD10_adj,z_XPD10_adj,z_KP_residual,z_KS_pct,z_CTR_adj_GD10,z_TLDPS,z_neg_DTH_adj,z_D_P15_adj,z_WCPM_type3,z_JSAD,z_CSD10_adj,z_CWPM_type3,z_WPM_type3
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,T1,Zeus,Top,120,43.9706,0.366,0.8795,-0.4315,,,,,,,1.0159,0.2623,,1.1043,1.1462,-0.0483,1.3879,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,KT Rolster,Kiin,Top,113,41.7476,0.369,0.8132,-0.4315,,,,,,,0.9587,0.7713,,1.1197,1.0546,0.2967,-0.0347,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Gen.G,Doran,Top,109,25.9723,0.238,0.3429,-0.4315,,,,,,,-0.4405,0.4215,,0.5726,1.4574,-1.0538,0.4489,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,DN SOOPers,DuDu,Top,83,24.3263,0.293,0.2938,-0.4315,,,,,,,0.9357,1.5274,,0.8182,-0.562,0.1768,-1.6915,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Dplus Kia,Canna,Top,88,17.6279,0.2,0.0941,-0.4315,,,,,,,0.7416,-0.6765,,1.0654,-0.1243,-0.2797,-0.9059,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Hanwha Life Esports,Kingen,Top,107,12.3824,0.116,-0.0623,-0.4315,,,,,,,0.6645,-0.9355,,-0.2548,-0.0556,0.0181,-0.3777,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,HANJIN BRION,Morgan,Top,89,2.2566,0.025,-0.3642,-0.4315,,,,,,,-0.5427,0.3086,,-0.2202,-0.4686,-0.4666,-0.7796,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Kiwoom DRX,Rascal,Top,90,-2.2566,-0.025,-0.4987,-0.4315,,,,,,,-0.7568,0.8207,,-0.4083,-0.7874,-0.7341,-1.0114,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Nongshim RedForce,DnDn,Top,85,-5.1778,-0.061,-0.5858,-0.4315,,,,,,,-0.4935,-1.199,,-1.8231,-0.0226,-0.628,0.593,,,,,
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Liiv SANDBOX,Burdol,Top,74,-8.441,-0.114,-0.6831,-0.4315,,,,,,,-0.8651,-2.0089,,-1.6333,-0.1177,-0.0064,1.0955,,,,,
