Player,Region,League,Year,Dataset,Team,Pos,GP,WAR,WAR_per_game,proj_WAR
Kiin,Korea,LCK,2023,full year (per-game derived),KT Rolster,Top,113,28.831,0.2551,24.749
Doran,Korea,LCK,2023,full year (per-game derived),Gen.G,Top,109,28.119,0.258,24.081
Zeus,Korea,LCK,2023,full year (per-game derived),T1,Top,120,25.224,0.2102,22.082
DuDu,Korea,LCK,2023,full year (per-game derived),DN SOOPers,Top,83,21.818,0.2629,18.599
Clear,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Top,17,13.599,0.7999,11.349
Kingen,Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,Top,107,12.943,0.121,12.304
Canna,Korea,LCK,2023,full year (per-game derived),Dplus Kia,Top,88,7.331,0.0833,8.072
Morgan,Korea,LCK,2023,full year (per-game derived),HANJIN BRION,Top,89,4.924,0.0553,6.289
PerfecT,Korea,LCK,2023,full year (per-game derived),KT Rolster,Top,1,-4.489,-4.489,9.688
Rascal,Korea,LCK,2023,full year (per-game derived),DRX,Top,90,-4.924,-0.0547,-1.013
DnDn,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,Top,85,-11.582,-0.1363,-5.7
Burdol,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Top,74,-15.489,-0.2093,-7.826
HamBak,Korea,LCK,2023,full year (per-game derived),KT Rolster,Jungle,1,45.746,45.746,21.358
Oner,Korea,LCK,2023,full year (per-game derived),T1,Jungle,120,27.669,0.2306,26.194
Cuzz,Korea,LCK,2023,full year (per-game derived),KT Rolster,Jungle,113,26.043,0.2305,24.851
Willer,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Jungle,91,24.553,0.2698,23.531
YoungJae,Korea,LCK,2023,full year (per-game derived),DN SOOPers,Jungle,83,23.531,0.2835,22.719
UmTi,Korea,LCK,2023,full year (per-game derived),HANJIN BRION,Jungle,89,23.21,0.2608,22.523
Canyon,Korea,LCK,2023,full year (per-game derived),Dplus Kia,Jungle,88,20.585,0.2339,20.585
Peanut,Korea,LCK,2023,full year (per-game derived),Gen.G,Jungle,109,15.797,0.1449,16.872
Sylvie,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,Jungle,85,6.397,0.0753,10.239
Croco,Korea,LCK,2023,full year (per-game derived),DRX,Jungle,57,1.363,0.0239,8.214
Grizzly,Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,Jungle,35,-4.088,-0.1168,7.612
Juhan,Korea,LCK,2023,full year (per-game derived),DRX,Jungle,33,-7.577,-0.2296,6.192
Clid,Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,Jungle,72,-14.708,-0.2043,-3.951
Chovy,Korea,LCK,2023,full year (per-game derived),Gen.G,Middle,109,43.555,0.3996,37.404
Feisty,Korea,LCK,2023,full year (per-game derived),KT Rolster,Middle,1,36.066,36.066,16.777
Zeka,Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,Middle,107,33.098,0.3093,29.241
FATE,Korea,LCK,2023,full year (per-game derived),DRX,Middle,81,30.183,0.3726,26.252
Callme,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,Middle,4,28.163,7.0408,17.515
ShowMaker,Korea,LCK,2023,full year (per-game derived),Dplus Kia,Middle,88,20.667,0.2349,19.479
Clozer,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Middle,91,20.233,0.2223,19.185
Faker,Korea,LCK,2023,full year (per-game derived),T1,Middle,102,16.549,0.1622,16.458
BuLLDoG,Korea,LCK,2023,full year (per-game derived),DN SOOPers,Middle,83,15.782,0.1901,15.888
Bdd,Korea,LCK,2023,full year (per-game derived),KT Rolster,Middle,113,11.852,0.1049,12.794
Karis,Korea,LCK,2023,full year (per-game derived),HANJIN BRION,Middle,79,9.441,0.1195,11.361
FIESTA,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,Middle,69,0.0,0.0,5.074
kyeahoo,Korea,LCK,2023,full year (per-game derived),DRX,Middle,9,-2.447,-0.2719,12.036
Ivory,Korea,LCK,2023,full year (per-game derived),HANJIN BRION,Middle,10,-19.218,-1.9218,7.653
Poby,Korea,LCK,2023,full year (per-game derived),T1,Middle,18,-24.338,-1.3521,1.457
Quad,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,Middle,12,-36.133,-3.0111,1.761
Gumayusi,Korea,LCK,2023,full year (per-game derived),T1,ADC,119,28.771,0.2418,23.896
Viper,Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,ADC,107,26.83,0.2507,21.975
Deft,Korea,LCK,2023,full year (per-game derived),Dplus Kia,ADC,85,21.186,0.2492,16.944
Aiming,Korea,LCK,2023,full year (per-game derived),KT Rolster,ADC,113,19.577,0.1732,16.508
Jiwoo,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,ADC,36,17.405,0.4835,11.852
Peyz,Korea,LCK,2023,full year (per-game derived),Gen.G,ADC,109,17.22,0.158,14.593
Teddy,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,ADC,40,15.302,0.3826,10.987
Envyy,Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,ADC,51,7.023,0.1377,6.448
Hype,Korea,LCK,2023,full year (per-game derived),KT Rolster,ADC,1,4.017,4.017,5.474
Hena,Korea,LCK,2023,full year (per-game derived),HANJIN BRION,ADC,89,2.611,0.0293,3.373
Rahel,Korea,LCK,2023,full year (per-game derived),Dplus Kia,ADC,3,0.316,0.1053,5.068
vital,Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,ADC,49,0.0,0.0,2.163
Paduck,Korea,LCK,2023,full year (per-game derived),DRX,ADC,46,-0.272,-0.0059,2.085
Taeyoon,Korea,LCK,2023,full year (per-game derived),DN SOOPers,ADC,83,-5.48,-0.066,-2.449
Pleata,Korea,LCK,2023,full year (per-game derived),DRX,ADC,6,-21.229,-3.5382,1.248
